"subject","item","age","condition","RTs"
12,15,22,"1",1352
20,19,28,"2",1379
12,27,22,"1",1383
15,24,25,"1",1385
26,21,28,"1",1388
7,6,24,"1",1399
11,14,48,"1",1402
20,9,28,"1",1403
10,5,26,"1",1425
21,14,27,"1",1428
26,17,28,"1",1429
15,12,25,"1",1431
20,1,28,"2",1437
14,11,29,"2",1438
18,29,24,"1",1439
3,20,29,"1",1440
21,2,27,"1",1444
25,26,28,"1",1445
17,14,27,"2",1447
15,8,25,"2",1450
3,26,29,"1",1452
6,13,27,"1",1457
20,5,28,"2",1457
15,14,25,"2",1464
21,16,27,"2",1464
25,4,28,"1",1468
26,1,28,"1",1468
21,4,27,"2",1478
17,12,27,"1",1491
15,24,25,"2",1505
3,20,29,"2",1506
21,10,27,"2",1520
15,16,25,"1",1521
20,15,28,"2",1524
15,28,25,"2",1532
21,4,27,"1",1540
23,14,24,"2",1541
18,27,24,"2",1543
10,15,26,"2",1545
15,8,25,"1",1548
25,16,28,"1",1548
15,30,25,"2",1549
15,30,25,"1",1550
23,18,24,"2",1553
4,19,29,"1",1557
25,10,28,"2",1562
21,14,27,"2",1581
12,29,22,"2",1583
25,24,28,"1",1584
18,23,24,"1",1587
17,22,27,"2",1588
19,26,18,"1",1590
10,1,26,"1",1607
6,21,27,"1",1614
15,4,25,"1",1617
4,13,29,"2",1618
21,20,27,"1",1620
3,28,29,"2",1627
20,1,28,"1",1636
15,4,25,"2",1653
3,26,29,"2",1657
12,3,22,"1",1660
21,12,27,"2",1662
25,6,28,"1",1664
21,8,27,"2",1664
11,20,48,"2",1668
21,18,27,"2",1668
3,18,29,"2",1689
25,28,28,"1",1701
25,6,28,"2",1705
18,15,24,"2",1706
15,10,25,"1",1712
20,17,28,"1",1713
21,16,27,"1",1713
12,5,22,"1",1723
2,1,48,"1",1730
21,12,27,"1",1739
15,12,25,"2",1756
9,5,27,"2",1760
15,2,25,"2",1761
8,16,22,"1",1763
17,24,27,"2",1771
6,23,27,"1",1774
25,18,28,"1",1788
13,28,22,"1",1789
15,20,25,"1",1795
19,30,18,"2",1826
15,2,25,"1",1830
21,20,27,"2",1831
26,19,28,"2",1833
15,28,25,"1",1843
6,7,27,"2",1843
13,24,22,"2",1851
14,27,29,"2",1853
15,26,25,"1",1854
25,22,28,"2",1875
20,7,28,"1",1880
12,9,22,"1",1890
12,13,22,"2",1897
4,3,29,"2",1915
9,3,27,"1",1920
7,2,24,"2",1930
12,15,22,"2",1930
15,22,25,"2",1935
7,4,24,"1",1937
13,20,22,"2",1941
15,14,25,"1",1969
18,5,24,"2",1970
3,6,29,"1",1971
7,10,24,"1",1975
12,21,22,"1",1981
12,19,22,"2",2010
7,14,24,"2",2014
15,18,25,"2",2018
14,5,29,"2",2020
13,30,22,"1",2032
7,22,24,"1",2033
11,12,48,"2",2039
17,22,27,"1",2044
17,26,27,"2",2052
18,19,24,"1",2053
6,1,27,"2",2054
12,5,22,"2",2071
13,30,22,"2",2096
18,15,24,"1",2098
3,16,29,"1",2119
18,5,24,"1",2125
25,20,28,"1",2133
12,29,22,"1",2138
22,27,23,"1",2164
18,9,24,"2",2180
15,22,25,"1",2185
18,13,24,"2",2198
7,10,24,"2",2209
26,23,28,"1",2227
22,15,23,"1",2236
1,14,48,"1",2294
18,29,24,"2",2310
24,5,23,"1",2319
26,9,28,"1",2323
11,2,48,"1",2337
24,13,23,"1",2349
14,5,29,"1",2350
18,19,24,"2",2379
24,27,23,"1",2386
26,5,28,"2",2388
3,14,29,"2",2392
10,5,26,"2",2394
24,9,23,"2",2408
18,17,24,"2",2413
4,19,29,"2",2425
26,23,28,"2",2429
17,30,27,"2",2445
25,22,28,"1",2453
24,17,23,"2",2455
11,6,48,"2",2467
18,23,24,"2",2472
18,3,24,"1",2478
17,18,27,"1",2485
24,23,23,"2",2499
11,16,48,"1",2517
17,14,27,"1",2534
26,15,28,"2",2588
24,7,23,"2",2627
13,16,22,"1",2628
4,9,29,"2",2645
6,17,27,"1",2678
17,28,27,"2",2682
18,11,24,"2",2693
25,8,28,"2",2694
7,4,24,"2",2717
24,27,23,"2",2743
2,27,48,"1",2765
1,26,48,"1",2790
24,15,23,"1",2802
20,27,28,"1",2809
4,1,29,"2",2816
2,5,48,"1",2822
2,5,48,"2",2822
1,22,48,"2",2829
3,12,29,"1",2831
2,9,48,"1",2849
20,13,28,"2",2849
2,15,48,"1",2860
24,1,23,"2",2860
24,7,23,"1",2889
17,16,27,"2",2895
1,26,48,"2",2899
1,30,48,"2",2903
13,26,22,"2",2911
24,21,23,"2",2911
24,3,23,"1",2924
18,7,24,"1",2932
